Generic,Brand,Class,Adverse reactions,Mechanism
clonidine,CATAPRES; CLORPRES,Alpha-2 adrenergic agonist,"Nervous System: Agitation, anxiety, delirium, delusional perception, hallucinations (including visual and auditory), insomnia, mental depression, nervousness, other behavioral changes, paresthesia, restlessness, sleep disorder, and vivid dreams or nightmares. Dermatological: Alopecia, angioneurotic edema, hives, pruritus, rash, and urticaria. Gastrointestinal: Abdominal pain, anorexia, constipation, hepatitis, malaise, mild transient abnormalities in liver function tests, nausea, parotitis, pseudo-obstruction (including colonic pseudo-obstruction), salivary gland pain, and vomiting. Genitourinary: Decreased sexual activity, difficulty in micturition, erectile dysfunction, loss of libido, nocturia, and urinary retention. Hematologic: Thrombocytopenia. Metabolic: Gynecomastia, transient elevation of blood glucose or serum creatine phosphokinase, and weight gain. Musculoskeletal: Leg cramps and muscle or joint pain. Oro-otolaryngeal: Dryness of the nasal mucosa. Ophthalmological: Accommod","Clonidine stimulates alpha-adrenoreceptors in the brain stem. This action results in reduced sympathetic outflow from the central nervous system and in decreases in peripheral resistance, renal vascular resistance, heart rate, and blood pressure."
clozapine,CLOZARIL; VERSACLOZ,Atypical antipsychotic,Nervous System Drowsiness/Sedation Dizziness/Vertigo Headache Tremor Syncope Disturbed Sleep/Nightmares Restlessness Hypokinesia/Akinesia Agitation Seizures (convulsions) Rigidity Akathisia Confusion Fatigue Insomnia Cardiovascular Tachycardia Hypotension Hypertension Gastrointestinal Constipation Nausea Abdominal Discomfort/Heartburn Nausea/Vomiting Vomiting Diarrhea Urogenital Urinary abnormalities Autonomic Nervous System Salivation Sweating Dry mouth Visual disturbances Skin Rash Hemic/Lymphatic Leukopenia/Decreased WBC/Neutropenia Miscellaneous Fever Weight Gain Incidence of Adverse Reactions in Patients Treated with Clozapine or Olanzapine in the InterSePT™ Study (≥ in the clozapine or olanzapine group) Adverse Reactions Clozapine Reporting Olanzapine Reporting Salivary hypersecretion Somnolence Weight increased Dizziness (excluding vertigo) Constipation Insomnia Nausea Vomiting Dyspepsia,"The mechanism of action of clozapine is unknown. However, it has been proposed that the therapeutic efficacy of Clozapine ODT in schizophrenia is mediated through antagonism of the dopamine type 2 (D 2 ) and the serotonin type 2A (5-HT 2A ) receptors."
cocaine,GOPRELTO; NUMBRINO,"Anesthetics, local","Nervous System Disorders Headache Respiratory, Thoracic, and Mediastinal Disorders Epistaxis Psychiatric Disorders Anxiety",Cocaine hydrochloride is a local anesthetic of the ester type. Cocaine hydrochloride prevents conduction in nerve fibers by reversibly blocking sodium channels and preventing the transient rise in sodium conductance necessary for generation of an action potential.
cyproheptadine,,H1 antihistamine,"Nervous System Sedation and sleepiness (often transient), dizziness, disturbed coordination, confusion, restlessness, excitation, nervousness, tremor, irritability, insomnia, paresthesias, neuritis, convulsions, euphoria, hallucinations, hysteria, faintness. Integumentary Allergic manifestation of rash and edema, excessive perspiration, urticaria, photosensitivity. Special Senses Acute labyrinthitis, blurred vision, diplopia, vertigo, tinnitus. Cardiovascular Hypotension, palpitation, tachycardia, extrasystoles, anaphylactic shock. Hematologic Hemolytic anemia, leukopenia, agranulocytosis, thrombocytopenia. Digestive System Cholestasis, hepatic failure, hepatitis, hepatic function abnormality, dryness of mouth, epigastric distress, anorexia, nausea, vomiting, diarrhea, constipation, jaundice. Genitourinary Urinary frequency, difficult urination, urinary retention, early menses. Respiratory Dryness of nose and throat, thickening of bronchial secretions, tightness of chest and wheezing,","Cyproheptadine is a serotonin and histamine antagonist with anticholinergic and sedative effects. Antiserotonin and antihistamine drugs appear to compete with serotonin and histamine, respectively, for receptor sites."
daridorexant,QUVIVIQ,Orexin Receptor Antagonist,"Nervous System Disorders Headache The following terms were combined: Headache includes: headache, tension headache, migraine, migraine with aura, head discomfort Somnolence or fatigue includes: somnolence, sedation, fatigue, hypersomnia, lethargy Dizziness includes: dizziness, vertigo, labyrinthitis Nausea includes: nausea, vomiting, procedural nausea Somnolence or fatigue Dizziness Gastro-intestinal disorders Nausea",The mechanism of action of daridorexant in the treatment of insomnia is presumed to be through antagonism of orexin receptors. Blocking the binding of wake-promoting neuropeptides orexin A and orexin B to receptors OX1R and OX2R is thought to suppress wake drive.
dehydrated alcohol,,Illicit psychoactive substance,"Heart block The following other adverse reactions associated with percutaneous transluminal septal myocardial ablation with the use of dehydrated alcohol, such as dehydrated alcohol injection, were identified in the literature: Ventricular tachycardia and ventricular fibrillation. Adverse reactions include arrhythmias, including ventricular tachycardia and/or ventricular fibrillation. To report SUSPECTED ADVERSE REACTIONS, contact Ingenus Pharmaceuticals, LLC at 1-877-748-1970 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch .","Dehydrated alcohol is a tissue toxin that produces a myocardial infarction when injected through an intra-arterial catheter into a target septal vessel, which causes the hypertrophied septum to thin. 12.2"
desipramine,NORPRAMIN,Tricyclic Antidepressant,"Psychiatric: Confusional states (especially in the elderly) with hallucinations, disorientation, delusions; anxiety, restlessness, agitation; insomnia and nightmares; hypomania; exacerbation of psychosis Neurologic: Numbness, tingling, paresthesias of extremities; incoordination, ataxia, tremors; peripheral neuropathy; extrapyramidal symptoms; seizures; alterations in EEG patterns; tinnitus . Symptoms attributed to Neuroleptic Malignant Syndrome have been reported during desipramine use with and without concomitant neuroleptic therapy. Anticholinergic: Dry mouth, and rarely associated sublingual adenitis; blurred vision, disturbance of accommodation, mydriasis, increased intraocular pressure; constipation, paralytic ileus; urinary retention, delayed micturition, dilation of urinary tract Allergic: Skin rash, petechiae, urticaria, itching, photosensitization (avoid excessive exposure to sunlight), edema (of face and tongue or general), drug fever, cross- sensitivity with other tricyclic","Mechanism of Action Available evidence suggests that many depressions have a biochemical basis in the form of a relative deficiency of neurotransmitters such as norepinephrine and serotonin. While the precise mechanism of action of the tricyclic antidepressants is unknown, a leading theory suggests that they restore normal levels of neurotransmitters by blocking the re-uptake of these substances from the synapse in the central nervous system."
desvenlafaxine,KHEDEZLA; PRISTIQ,Selective serotonin reuptake inhibitor,"Cardiac disorders Blood pressure increased Gastrointestinal disorders Nausea Dry mouth Constipation Vomiting General disorders and administration site conditions Fatigue Chills Feeling jittery Metabolism and nutrition disorders Decreased appetite Nervous system disorders Dizziness Somnolence Tremor Disturbance in attention Psychiatric disorders Insomnia Anxiety Nervousness Abnormal dreams Renal and urinary disorders Urinary hesitation Respiratory, thoracic and mediastinal disorders Yawning Skin and subcutaneous tissue disorders Hyperhidrosis Special Senses Vision blurred Mydriasis Vertigo Tinnitus Dysgeusia Vascular disorders Hot flush Sexual Function Adverse Reactions (≥2% in Men or Women in any Desvenlafaxine Group) During the On-Therapy Period Desvenlafaxine Extended-Release Tablets Men only Anorgasmia Libido decreased Orgasm abnormal Ejaculation delayed Erectile dysfunction Ejaculation disorder Ejaculation failure Sexual dysfunction Desvenlafaxine Extended-Release Tablets Women onl","The exact mechanism of the antidepressant action of desvenlafaxine is unknown, but is thought to be related to the potentiation of serotonin and norepinephrine in the central nervous system, through inhibition of their reuptake. Non"
deutetrabenazine,AUSTEDO; AUSTEDO 12 MG STARTING DOSE,VMAT2 inhibitor,Adverse Reaction AUSTEDO Somnolence Diarrhea Dry mouth Fatigue Urinary tract infection Insomnia Anxiety Constipation Contusion Adverse Reaction AUSTEDO Nasopharyngitis Insomnia Depression/ Dysthymic disorder Akathisia/Agitation/Restlessness,"The precise mechanism by which deutetrabenazine exerts its effects in the treatment of tardive dyskinesia and chorea in patients with Huntington’s disease is unknown but is believed to be related to its effect as a reversible depletor of monoamines (such as dopamine, serotonin, norepinephrine, and histamine) from nerve terminals. The major circulating metabolites (α-dihydrotetrabenazine [HTBZ] and β-HTBZ) of deutetrabenazine, are reversible inhibitors of VMAT2, resulting in decreased uptake of monoamines into synaptic vesicles and depletion of monoamine stores."
dexmethylphenidate,AZSTARYS; FOCALIN,Central Nervous System Stimulant,Dexmethylphenidate Hydrochloride tablets Body as a whole Abdominal pain Fever Digestive System Anorexia Nausea,Dexmethylphenidate hydrochloride is a CNS stimulant. The mode of therapeutic action in ADHD is not known.
dextroamphetamine,ADDERALL; DEXEDRINE,Central Nervous System Stimulant,Nervous system disorders Headache Psychiatric disorders Insomnia Affect lability Tic Gastrointestinal Disorders Vomiting Abdominal pain Nausea General disorders and administration site conditions Irritability Investigations/Cardiac Disorders Blood pressure increased Heart rate increased XELSTRYM n/N n/N Discomfort Reported in patient diaries 8/96 8/98 Clinic assessments Any discomfort 72/104 9/101 Severe discomfort 10/104 4/101 Irritation Reported in patient diaries 64/103 41/105 Reported at Clinic assessments 97/103 55/101,Amphetamines are non-catecholamine sympathomimetic amines with CNS stimulant activity. The exact mode of therapeutic action in ADHD is not known.
diazepam,DIASTAT; LIBERVANT,Benzodiazepine,"Nervous System: confusion, depression, dysarthria, headache, slurred speech, tremor, vertigo Gastrointestinal System: constipation, nausea, gastrointestinal disturbances Special Senses: blurred vision, diplopia, dizziness Cardiovascular System: hypotension Psychiatric and Paradoxical Reactions: stimulation, restlessness, acute hyperexcited states, anxiety, agitation, aggressiveness, irritability, rage, hallucinations, psychoses, delusions, increased muscle spasticity, insomnia, sleep disturbances, and nightmares. Inappropriate behavior and other adverse behavioral effects have been reported when using benzodiazepines. Should these occur, use of the drug should be discontinued. They are more likely to occur in children and in the elderly. Urogenital System: incontinence, changes in libido, urinary retention Skin and Appendages: skin reactions Laboratories: elevated transaminases and alkaline phosphatase Other: changes in salivation, including dry mouth, hypersalivation Antegrade amnesia","Most of these effects are thought to result from a facilitation of the action of gamma aminobutyric acid (GABA), an inhibitory neurotransmitter in the central nervous system. Conflicting information has been published on changes of plasma protein binding in the elderly."
diphenhydramine,ACETADRYL; ALEVE PM,H1 antihistamine,"Nervous System Sedation, sleepiness, dizziness, disturbed coordination fatigue, confusion, restlessness, excitation, nervousness, tremor, irritability, insomnia, euphoria, paresthesia, blurred vision, diplopia, vertigo, tinnitus, acute labyrinthitis, neuritis, convulsions. Gastrointestinal System Epigastric distress anorexia, nausea, vomiting, diarrhea, constipation. Genitourinary System Urinary frequency, difficult urination, urinary retention, early menses. Respiratory System Thickening of bronchial secretions tightness of chest and wheezing, nasal stuffiness. To report SUSPECTED ADVERSE REACTIONS, contact Avenacy at 1-855-283-6229 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.",Antihistamines appear to compete with histamine for cell receptor sites on effector cells. Diphenhydramine hydrochloride is an antihistamine with anticholinergic (drying) and sedative side effects.
diphenidol,,Central Nervous System Agent,,
disulfiram,ANTABUSE,Alcohol use disorder agent,"(See CONTRAINDICATIONS WARNINGS and PRECAUTIONS .) OPTIC NEURITIS, PERIPHERAL NEURITIS, POLYNEURITIS, AND PERIPHERAL NEUROPATHY MAY OCCUR FOLLOWING ADMINISTRATION OF DISULFIRAM. Multiple cases of hepatitis, including both cholestatic and fulminant hepatitis, as well as hepatic failure resulting in transplantation or death, have been reported with administration of disulfiram. Occasional skin eruptions are, as a rule, readily controlled by concomitant administration of an antihistaminic drug. In a small number of patients, a transient mild drowsiness, fatigability, impotence, headache, acneform eruptions, allergic dermatitis, or a metallic or garlic-like aftertaste may be experienced during the first two weeks of therapy. These complaints usually disappear spontaneously with the continuation of therapy, or with reduced dosage. Psychotic reactions have been noted, attributable in most cases to high dosage, combined toxicity (with metronidazole or isoniazid), or to the unmasking of underl",Disulfiram produces a sensitivity to alcohol which results in a highly unpleasant reaction when the patient under treatment ingests even small amounts of alcohol. Disulfiram blocks the oxidation of alcohol at the acetaldehyde stage.
divalproex sodium,Depakote,Antimanic Agent,Gastrointestinal System Nausea Vomiting Abdominal Pain Diarrhea Anorexia Dyspepsia Constipation Nervous System Somnolence Tremor Dizziness Diplopia Amblyopia/Blurred Vision Ataxia Nystagmus Emotional Lability Thinking Abnormal Amnesia Respiratory System Flu Syndrome Infection Bronchitis Rhinitis Other Alopecia Weight Loss . Adverse Reactions Reported by ≥ of Patients in the High Dose Group in the Controlled Trial of Valproate Monotherapy for Complex Partial Seizures /Reaction High Dose Low Dose Headache was the only adverse reaction that occurred in ≥ of patients in the high dose group and at an equal or greater incidence in the low dose group. Body as a Whole Asthenia Digestive System Nausea Diarrhea Vomiting Abdominal Pain Anorexia Dyspepsia Hemic/Lymphatic System Thrombocytopenia Ecchymosis Metabolic/Nutritional Weight Gain Peripheral Edema Nervous System Tremor Somnolence Dizziness Insomnia Nervousness Amnesia Nystagmus Depression Respiratory System Infection Pharyngitis Dyspnea Sk,The mechanisms by which valproate exerts its therapeutic effects have not been established. Divalproex sodium dissociates to the valproate ion in the gastrointestinal tract.
donepezil,ADLARITY; ARICEPT,Cholinesterase Inhibitor,". Most Common Adverse Reactions Leading to Discontinuation in Patients with Mild to Moderate Alzheimer's Disease Adverse Reaction Donepezil Hydrochloride Donepezil Hydrochloride Nausea Diarrhea Vomiting . Comparison of Rates of Adverse Reactions in Mild to Moderate Patients Titrated to over and Weeks No titration One week titration Six week titration Adverse Reaction Nausea Diarrhea Insomnia Fatigue Vomiting Muscle cramps Anorexia . Adverse Reactions in Mild to Moderate Alzheimer’s Disease Adverse Reaction Donepezil Hydrochloride Percent of Patients with any Adverse Reaction Nausea Diarrhea Headache Insomnia Pain, various locations Dizziness Accident Muscle Cramps Fatigue Vomiting Anorexia Ecchymosis Abnormal Dreams Depression Weight Loss Arthritis Frequent Urination Somnolence Syncope . Adverse Reactions in Severe Alzheimer’s Disease /Adverse Reaction Donepezil Hydrochloride Percent of Patients with any Adverse Reaction Accident Infection Diarrhea Anorexia Vomiting Nausea Insomnia Ecc",This is accomplished by increasing the concentration of acetylcholine through reversible inhibition of its hydrolysis by acetylcholinesterase. Current theories on the pathogenesis of the cognitive signs and symptoms of Alzheimer's disease attribute some of them to a deficiency of cholinergic neurotransmission.
doxepin,PRUDOXIN; SILENOR,Tricyclic Antidepressant,"Nervous System Effects: Drowsiness is the most commonly noticed side effect. This tends to disappear as therapy is continued. Other infrequently reported CNS side effects are confusion, disorientation, hallucinations, numbness, paresthesia, ataxia, extrapyramidal symptoms, seizures, tardive dyskinesia and tremor. Cardiovascular: Cardiovascular effects including hypotension, hypertension, and tachycardia have been reported occasionally. Allergic: Skin rash, edema, photosensitization, and pruritus have occasionally occurred. Hematologic: Eosinophilia has been reported in a few patients. There have been occasional reports of bone marrow depression manifesting as agranulocytosis, leukopenia, thrombocytopenia, and purpura. Gastrointestinal: Nausea, vomiting, indigestion, taste disturbances, diarrhea, anorexia, and aphthous stomatitis have been reported. See Anticholinergic Effects.) Endocrine: Raised or lowered libido, testicular swelling, gynecomastia in males, enlargement of breasts and g",The mechanism of action of doxepin HCl is not definitely known. It is not a central nervous system stimulant nor a monoamine oxidase inhibitor.
duloxetine,CYMBALTA; DRIZALMA,Selective serotonin reuptake inhibitor,"musculoskeletal pain. The inclusion of an event in the table is determined based on the percentages before rounding; however, the percentages displayed in the table are rounded to the nearest integer. b Also includes asthenia. c Events for which there was a significant dose-dependent relationship in fixed-dose studies, excluding three MDD studies which did not have a lead-in period or dose titration. d Also includes initial insomnia, middle insomnia, and early morning awakening. e Also includes hypersomnia and sedation. f Also includes abdominal discomfort, abdominal pain lower, abdominal pain upper, abdominal tenderness, and gastrointestinal pain. Adverse Reaction Duloxetine Nausea c Headache Dry mouth Somnolence e Fatigue b,c Insomnia d Constipation c Dizziness c Diarrhea Decreased appetite c Hyperhidrosis c Abdominal pain f Adverse Reactions: Incidence of or More and Greater than in MDD and GAD -Controlled Trials in Adults a,b a The inclusion of an event in the table is determined b","Although the exact mechanisms of the antidepressant, central pain inhibitory and anxiolytic actions of duloxetine in humans are unknown, these actions are believed to be related to its potentiation of serotonergic and noradrenergic activity in the CNS. 12.2"
entacapone,COMTAN; STALEVO,Catechol-O-methyltransferase inhibitor,"SKIN AND APPENDAGES DISORDERS Sweating increased MUSCULOSKELETAL SYSTEM DISORDERS Back pain CENTRAL AND PERIPHERAL NERVOUS SYSTEM DISORDERS Dyskinesia Hyperkinesia Hypokinesia Dizziness SPECIAL SENSES, OTHER DISORDERS Taste perversion PSYCHIATRIC DISORDERS Anxiety Somnolence Agitation GASTROINTESTINAL SYSTEM DISORDERS Nausea Diarrhea Abdominal pain Constipation Vomiting Mouth dry Dyspepsia Flatulence Gastritis Gastrointestinal disorders RESPIRATORY SYSTEM DISORDERS Dyspnea PLATELET, BLEEDING AND CLOTTING DISORDERS Purpura URINARY SYSTEM DISORDERS Urine discoloration BODY AS A WHOLE - GENERAL DISORDERS Back pain Fatigue Asthenia RESISTANCE MECHANISM DISORDERS Infection bacterial","Mechanism of Action Entacapone is a selective and reversible inhibitor of COMT. In the presence of a decarboxylase inhibitor, COMT becomes the major metabolizing enzyme for levodopa, catalyzing the metabolism to 3-methoxy-4-hydroxy-L-phenylalanine (3-OMD) in the brain and periphery."
ergotamine,CAFERGOT; ERGOMAR,Illicit psychoactive substance,"Gastrointestinal: Nausea and vomiting. Neurological: paresthesias, numbness, weakness, and vertigo. Allergic: Localized edema and itching. Fibrotic Complications: See WARNINGS ).","Pharmacokinetics: Interactions Pharmacokinetic interactions (increased blood levels of ergotamine) have been reported in patients treated orally with ergotamine and macrolide antibiotics (e.g., troleandomycin, clarithromycin, erythromycin), and in patients treated orally with ergotamine and protease inhibitors (e.g., ritonavir) presumably due to inhibition of cytochrome P450 3A metabolism of ergotamine ( See CONTRAINDICATIONS ). Ergotamine has also been shown to be an inhibitor of cytochrome P450 3A catalyzed reactions."
escitalopram,LEXAPRO,Selective serotonin reuptake inhibitor,"Nervous System Disorders Dry Mouth Sweating Increased Central & Peripheral Nervous System Disorders Dizziness Gastrointestinal Disorders Nausea Diarrhea Constipation Indigestion Abdominal Pain General Influenza-like Symptoms Fatigue Psychiatric Disorders Insomnia Somnolence Appetite Decreased Libido Decreased Respiratory System Disorders Rhinitis Sinusitis Urogenital Ejaculation Disorder 1,2 for Generalized Anxiety Disorder (Adults) Adverse Reactions Escitalopram Autonomic Nervous System Disorders Dry Mouth Sweating Increased Central & Peripheral Nervous System Disorders Headache Paresthesia Gastrointestinal Disorders Nausea Diarrhea Constipation Indigestion Vomiting Abdominal Pain Flatulence Toothache General Fatigue Influenza-like Symptoms Musculoskeletal System Disorder Neck/Shoulder Pain Psychiatric Disorders Somnolence Insomnia Libido Decreased Dreaming Abnormal Appetite Decreased Lethargy Respiratory System Disorders Yawning Urogenital Ejaculation Disorder 1,2 Anorgasmia msec or","The mechanism of antidepressant action of escitalopram, the S-enantiomer of racemic citalopram, is presumed to be linked to potentiation of serotonergic activity in the central nervous system (CNS) resulting from its inhibition of CNS neuronal reuptake of serotonin (5-HT). 12.2"
eszopiclone,LUNESTA,Benzodiazepine,Nervous System Anxiety Confusion Depression Dizziness Hallucinations Libido Decreased Nervousness Somnolence Respiratory System Infection Skin and Appendages Rash Special Senses Unpleasant Taste Urogenital System Dysmenorrhea Gynecomastia Adverse Reactions Eszopiclone Eszopiclone Body as a Whole Accidental Injury Headache Pain Digestive System Diarrhea Dry Mouth Dyspepsia Nervous System Abnormal Dreams Dizziness Nervousness Neuralgia Skin and Appendages Pruritus Special Senses Unpleasant Taste Urogenital System Urinary Tract Infection,"The mechanism of action of eszopiclone as a hypnotic is unclear; however, its effect could be related to its interaction with GABA-receptor complexes at binding domains located close to or allosterically coupled to benzodiazepine receptors. 12.3"
ethosuximide,ZARONTIN,Anti-epileptic Agent,"Gastrointestinal System: Gastrointestinal symptoms occur frequently and include anorexia, vague gastric upset, nausea and vomiting, cramps, epigastric and abdominal pain, weight loss, and diarrhea. There have been reports of gum hypertrophy and swelling of the tongue. Hemopoietic System: Hemopoietic complications associated with the administration of ethosuximide have included leukopenia, agranulocytosis, pancytopenia, with or without bone marrow suppression, eosinophilia and thrombocytopenia (see WARNINGS ). Nervous System: Neurologic and sensory reactions reported during therapy with ethosuximide have included drowsiness, headache, dizziness, euphoria, hiccups, irritability, hyperactivity, lethargy, fatigue, and ataxia. Psychiatric or psychological aberrations associated with ethosuximide administration have included disturbances of sleep, night terrors, inability to concentrate, and aggressiveness. These effects may be noted particularly in patients who have previously exhibited psy","Ethosuximide suppresses the paroxysmal three cycle per second spike and wave activity associated with lapses of consciousness which is common in absence (petit mal) seizures. The frequency of epileptiform attacks is reduced, apparently by depression of the motor cortex and elevation of the threshold of the central nervous system to convulsive stimuli."
ethotoin,,Hydantoin anticonvulsant,,
felbamate,FELBATOL,Other antiepileptics,Nervous System Insomnia Headache Anxiety Dermatological Acne Rash Digestive Dyspepsia Vomiting Constipation Diarrhea SGPT Increased Metabolic/Nutritional Hypophosphatemia Respiratory Upper Respiratory Tract Infection Rhinitis Special Senses Diplopia Otitis Media Urogenital Intramenstrual Bleeding Urinary Tract Infection mg/kg/day Adults Treatment-Emergent Adverse Event Incidence in Controlled Add-On Trials Felbamate /Event Body as a Whole Fatigue Fever Chest Pain Central Nervous System Headache Somnolence Dizziness Insomnia Nervousness Tremor Anxiety Gait Abnormal Depression Paraesthesia Ataxia Mouth Dry Stupor Dermatological Rash Digestive Nausea Anorexia Vomiting Dyspepsia Constipation Diarrhea Abdominal Pain SGPT Increased Musculoskeletal Myalgia Respiratory Upper Respiratory Tract Infection Sinusitis Pharyngitis Special Senses Diplopia Taste Perversion Vision Abnormal Children Treatment-Emergent Adverse Event Incidence in Controlled Add-On Lennox-Gastaut Trials Felbamate /Event Bod,"Mechanism of Action: The mechanism by which felbamate exerts its anticonvulsant activity is unknown, but in animal test systems designed to detect anticonvulsant activity, felbamate has properties in common with other marketed anticonvulsants. Receptor-binding studies in vitro indicate that felbamate has weak inhibitory effects on GABA-receptor binding, benzodiazepine receptor binding, and is devoid of activity at the MK-801 receptor binding site of the NMDA receptor-ionophore complex."
fluoxetine,PROZAC; SYMBYAX,Selective serotonin reuptake inhibitor,"Nervous System Insomnia Anxiety Nervousness Somnolence Tremor Libido decreased -- Abnormal dreams Respiratory System Pharyngitis Sinusitis Yawn -- -- -- -- -- Skin and Appendages Sweating -- Rash Urogenital System Impotence -- -- -- -- -- Abnormal ejaculation -- -- -- -- Treatment-Emergent Adverse Reactions: Incidence in Major Depressive Disorder, OCD, Bulimia, and Panic Disorder -Controlled Clinical Trials 1,2 Percentage of Patients Reporting Event Major Depressive Disorder, OCD, Bulimia, and Panic Disorder Combined Incidence less than 1%. Includes U.S. data for Major Depressive Disorder, OCD, Bulimia, and Panic Disorder clinical trials, plus non-U.S. data for Panic Disorder clinical trials. /Adverse Reaction Fluoxetine Body as a Whole Headache Asthenia Flu syndrome Fever Cardiovascular System Vasodilatation Digestive System Nausea Diarrhea Anorexia Dry mouth Dyspepsia Constipation Flatulence Vomiting Metabolic and Nutritional Disorders Weight loss Nervous System Insomnia Nervousness","Although the exact mechanism of fluoxetine is unknown, it is presumed to be linked to its inhibition of CNS neuronal uptake of serotonin. 12.2"
fluphenazine,,Typical antipsychotic,"Central Nervous System The side effects most frequently reported with phenothiazine compounds are extrapyramidal symptoms including pseudoparkinsonism, dystonia, dyskinesia, akathisia, oculogyric crises, opisthotonos, and hyperreflexia. Most often these extrapyramidal symptoms are reversible; however, they may be persistent (see below). With any given phenothiazine derivative, the incidence and severity of such reactions depend more on individual patient sensitivity than on other factors, but dosage level and patient age are also determinants. Extrapyramidal reactions may be alarming, and the patient should be forewarned and reassured. These reactions can usually be controlled by administration of antiparkinsonian drugs such as benztropine mesylate or intravenous caffeine and sodium benzoate injection, and by subsequent reduction in dosage. Extrapyramidal Symptoms Dystonia: Class Effect: Symptoms of dystonia, prolonged abnormal contractions of muscle groups, may occur in susceptible in",The mechanism whereby its therapeutic action is exerted is unknown. Fluphenazine hydrochloride has activity at all levels of the central nervous system as well as on multiple organ systems.
flurazepam,,Benzodiazepine,"gastrointestinal pain, nervousness, talkativeness, apprehension, irritability, weakness, palpitations, chest pains, body and joint pains, and genitourinary complaints. There have also been rare occurrences of leukopenia, granulocytopenia, sweating, flushes, difficulty in focusing, blurred vision, burning eyes, faintness, hypotension, shortness of breath, pruritus, skin rash, dry mouth, bitter taste, excessive salivation, anorexia, euphoria, depression, slurred speech, confusion, restlessness, hallucinations and elevated SGOT, SGPT, total and direct bilirubin elevations, and elevated alkaline phosphatase.","Flurazepam, like other central nervous system agents of the 1,4-benzodiazepine class, presumably exerts its effects by binding to stereo-specific receptors at several sites within the central nervous system (CNS). The exact mechanism of action is unknown."
fluvoxamine,,Selective serotonin reuptake inhibitor,"NERVOUS SYSTEM Somnolence Insomnia Dry Mouth Nervousness Dizziness Tremor Anxiety Vasodilatation Hypertonia Agitation Decreased Libido Depression CNS Stimulation RESPIRATORY SYSTEM Upper Respiratory Infection Dyspnea Yawn SKIN Sweating SPECIAL SENSES Taste Perversion Amblyopia UROGENITAL Abnormal Ejaculation 5,6 Urinary Frequency Impotence Anorgasmia Urinary Retention PERCENTAGE OF PATIENTS REPORTING SEXUAL ADVERSE REACTIONS IN ADULT -CONTROLLED TRIALS IN OCD AND DEPRESSION Fluvoxamine maleate tablets Abnormal Ejaculation Impotence Decreased Libido Anorgasmia","The mechanism of action of fluvoxamine maleate in obsessive compulsive disorder is presumed to be linked to its specific serotonin reuptake inhibition in brain neurons. Fluvoxamine has been shown to be a potent inhibitor of the serotonin reuptake transporter in preclinical studies, both in vitro and in vivo ."
fosphenytoin,CEREBYX,Hydantoin anticonvulsant,SKIN AND APPENDAGES Pruritus SPECIAL SENSES Tinnitus Diplopia Taste Perversion Amblyopia Deafness Adverse Event IM Fosphenytoin sodium Oral Phenytoin BODY AS A WHOLE Headache Asthenia DIGESTIVE Nausea Vomiting HEMATOLOGIC AND LYMPHATIC Ecchymosis NERVOUS Nystagmus Tremor Ataxia Incoordination Somnolence Dizziness Paresthesia Reflexes Decreased SKIN AND APPENDAGES Pruritus,"Fosphenytoin is a prodrug of phenytoin and accordingly, its anticonvulsant effects are attributable to phenytoin. The precise mechanism by which phenytoin exerts its therapeutic effect has not been established but is thought to involve the voltage-dependent blockade of membrane sodium channels resulting in a reduction in sustained high-frequency neuronal discharges."
gabapentin,GABARONE; GRALISE,Gabapentinoid,Nervous System Dizziness Somnolence Ataxia Abnormal thinking Abnormal gait Incoordination Respiratory System Pharyngitis Special Senses Amblyopia Reported as blurred vision Conjunctivitis Diplopia Otitis media . Adverse Reactions in Epilepsy Patients > Years of Age Gabapentin Plus background antiepileptic drug therapy Body as a Whole Fatigue Increased weight Back pain Peripheral edema Cardiovascular Vasodilatation Digestive System Dyspepsia Dry mouth or throat Constipation Dental abnormalities Nervous System Somnolence Dizziness Ataxia Nystagmus Tremor Dysarthria Amnesia Depression Abnormal thinking Abnormal coordination Respiratory System Pharyngitis Coughing Skin and Appendages Abrasion Urogenital System Impotence Special Senses Diplopia Amblyopia Amblyopia was often described as blurred vision. . Adverse Reactions in a -Controlled Add-On Trial in Pediatric Epilepsy Patients Age to Years Gabapentin Plus background antiepileptic drug therapy Body as a Whole Viral infection Fever Incre,"The precise mechanisms by which gabapentin produces its analgesic and antiepileptic actions are unknown. Gabapentin is structurally related to the neurotransmitter gamma-aminobutyric acid (GABA) but has no effect on GABA binding, uptake, or degradation."
